system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
L38,legend,,,,,,,,,legend_name,,,SSudan_v03Preliminary,,,,,
L38,legend,,,,,,,,,legend_description,,,Describe the legend,,,,,
L38,class,70,RB,River bank,,,,,,class_name,,,River bank,,,,,
L38,class,70,RB,River bank,,,,,,class_description,,,Part of the river bed flooded during the rainy season (Flood plain),,,,,
L38,class,70,RB,River bank,,,,,,class_map_code,,,RB,,,,,
L38,class,70,RB,River bank,,,,,,uuid,,,5a5c8b70-5637-11e1-a788-0022b0e4baaa,,,,,
L38,hp,70,RB,River bank,71,,,,,name,,,Horizontal Pattern 1,,,,,
L38,hp,70,RB,River bank,71,,,,,description,,,Describe the horizontal pattern,,,,,
L38,stratum,70,RB,River bank,71,74,,,,name,,,Stratum 2,,,,,
L38,stratum,70,RB,River bank,71,74,,,,description,,,Vegetation 2,,,,,
L38,stratum,70,RB,River bank,71,74,,,,presence_type,,,Optional,,,,,
L38,stratum,70,RB,River bank,71,74,,,,@ontop,,,0,,,,,
L38,element,70,RB,River bank,71,74,1,,LC_GrowthForm,lccs3_type,,,LC_GrowthForms,,,,,
L38,element,70,RB,River bank,71,74,1,,LC_GrowthForm,name,,,Growth Forms,,,,,
L38,element,70,RB,River bank,71,74,1,,LC_GrowthForm,description,,,Describe a vegetation element of growth form type,,,,,
L38,element,70,RB,River bank,71,74,1,,LC_GrowthForm,cover,0.0,20.0,,,,,,
L38,element,70,RB,River bank,71,74,1,,LC_GrowthForm,presence_type,,,Mandatory,,,,,
L38,characteristic,70,RB,River bank,71,74,1,1,LC_VegetationArtificialityCharacteristic,lccs3_type,,,LC_NaturalOrSeminaturalVegetation,,,,,value: Natural or Seminatural
L38,characteristic,70,RB,River bank,71,74,1,1,LC_VegetationArtificialityCharacteristic,name,,,Natural Or Seminatural Vegetation,,,,,
L38,characteristic,70,RB,River bank,71,74,1,1,LC_VegetationArtificialityCharacteristic,description,,,Describe the natural or seminatural vegetation,,,,,
L38,stratum,70,RB,River bank,71,72,,,,name,,,Stratum 1,,,,,
L38,stratum,70,RB,River bank,71,72,,,,description,,,Abiotic surface 1,,,,,
L38,stratum,70,RB,River bank,71,72,,,,presence_type,,,Mandatory,,,,,
L38,stratum,70,RB,River bank,71,72,,,,@ontop,,,0,,,,,
L38,element,70,RB,River bank,71,72,1,,LC_SoilSandDepositsSurfaceElement,lccs3_type,,,LC_SoilSandDepositSurface,,,,,
L38,element,70,RB,River bank,71,72,1,,LC_SoilSandDepositsSurfaceElement,name,,,Soil Sand Deposit Surface,,,,,
L38,element,70,RB,River bank,71,72,1,,LC_SoilSandDepositsSurfaceElement,description,,,Describe a soil sand deposit surface element,,,,,
L38,element,70,RB,River bank,71,72,1,,LC_SoilSandDepositsSurfaceElement,presence_type,,,Mandatory,,,,,
L38,stratum,70,RB,River bank,71,76,,,,name,,,Stratum 3,,,,,
L38,stratum,70,RB,River bank,71,76,,,,description,,,Abiotic surface 3,,,,,
L38,stratum,70,RB,River bank,71,76,,,,presence_type,,,Optional,,,,,
L38,stratum,70,RB,River bank,71,76,,,,@ontop,,,0,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,lccs3_type,,,LC_WaterBody,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,name,,,Water Body,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,description,,,Describe a water body surface element,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,presence_type,,,Mandatory,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,periodic_variation[LC_PeriodicVariations]/name,,,Periodic Variations,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,periodic_variation[LC_PeriodicVariations]/description,,,Contains the elements of Periodic Variation,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,periodic_variation[LC_PeriodicVariations]/elements/LC_PeriodicVariation[LC_PeriodicVariation]/name,,,Periodic Variation,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,periodic_variation[LC_PeriodicVariations]/elements/LC_PeriodicVariation[LC_PeriodicVariation]/description,,,Describe a periodic variation element,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,periodic_variation[LC_PeriodicVariations]/elements/LC_PeriodicVariation[LC_PeriodicVariation]/persistence_units,,,Months,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,dynamics,,,Flowing,,,,,
L38,element,70,RB,River bank,71,76,1,,LC_WaterBody,position,,,Above Surface,,,,,
L38,class,69,RP,River perennial,,,,,,class_name,,,River perennial,,,,,
L38,class,69,RP,River perennial,,,,,,class_description,,,Part of the river bed where there is a constant presence of water,,,,,
L38,class,69,RP,River perennial,,,,,,class_map_code,,,RP,,,,,
L38,class,69,RP,River perennial,,,,,,uuid,,,9b245da0-5636-11e1-a788-0022b0e4baaa,,,,,
L38,hp,69,RP,River perennial,6A,,,,,name,,,Horizontal Pattern 1,,,,,
L38,hp,69,RP,River perennial,6A,,,,,description,,,Describe the horizontal pattern,,,,,
L38,stratum,69,RP,River perennial,6A,6B,,,,name,,,Stratum 1,,,,,
L38,stratum,69,RP,River perennial,6A,6B,,,,description,,,Abiotic surface 1,,,,,
L38,stratum,69,RP,River perennial,6A,6B,,,,presence_type,,,Mandatory,,,,,
L38,stratum,69,RP,River perennial,6A,6B,,,,@ontop,,,0,,,,,
L38,element,69,RP,River perennial,6A,6B,1,,LC_WaterBody,lccs3_type,,,LC_WaterBody,,,,,
L38,element,69,RP,River perennial,6A,6B,1,,LC_WaterBody,name,,,Water Body,,,,,
L38,element,69,RP,River perennial,6A,6B,1,,LC_WaterBody,description,,,Describe a water body surface element,,,,,
L38,element,69,RP,River perennial,6A,6B,1,,LC_WaterBody,presence_type,,,Mandatory,,,,,
L38,element,69,RP,River perennial,6A,6B,1,,LC_WaterBody,dynamics,,,Flowing,,,,,
L38,element,69,RP,River perennial,6A,6B,1,,LC_WaterBody,position,,,Above Surface,,,,,
L38,characteristic,69,RP,River perennial,6A,6B,1,1,LC_ArtificialityCharacteristic,lccs3_type,,,LC_Artificiality,,,,,
L38,characteristic,69,RP,River perennial,6A,6B,1,1,LC_ArtificialityCharacteristic,name,,,Artificiality,,,,,
L38,characteristic,69,RP,River perennial,6A,6B,1,1,LC_ArtificialityCharacteristic,description,,,Describe the artificiality characteristic,,,,,
L38,characteristic,69,RP,River perennial,6A,6B,1,1,LC_ArtificialityCharacteristic,type,,,Natural,,,,,
L38,characteristic,69,RP,River perennial,6A,6B,1,2,LC_WaterSalinityCharacteristic,lccs3_type,,,LC_WaterSalinity,,,,,
L38,characteristic,69,RP,River perennial,6A,6B,1,2,LC_WaterSalinityCharacteristic,name,,,Water Salinity,,,,,
L38,characteristic,69,RP,River perennial,6A,6B,1,2,LC_WaterSalinityCharacteristic,description,,,Describe the water salinity characteristic,,,,,
L38,characteristic,69,RP,River perennial,6A,6B,1,2,LC_WaterSalinityCharacteristic,type,,,Fresh,,,,,
L38,class,187,WBnP,Water body seasonal,,,,,,class_name,,,Water body seasonal,,,,,
