system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
L22,legend,,,,,,,,,legend_name,,,FAO-CAFI,,,,,
L22,legend,,,,,,,,,legend_description,,,Describe the legend,,,,,
L22,class,2,01,Forêt Dense,,,,,,class_name,,,Forêt Dense,,,,,
L22,class,2,01,Forêt Dense,,,,,,class_description,,,"Forêt dense humide primaire sur terre ferme, >60% arborée",,,,,
L22,class,2,01,Forêt Dense,,,,,,class_map_code,,,01,,,,,
L22,class,2,01,Forêt Dense,,,,,,uuid,,,f6471b30-750a-11eb-9ba8-a6c3f0c47be7,,,,,
L22,class_char,2,01,Forêt Dense,,,,1,LC_TopographicalAspects,name,,,Topographical Aspects,,,,,
L22,class_char,2,01,Forêt Dense,,,,1,LC_TopographicalAspects,description,,,Describe the topographical aspects,,,,,
L22,class_char,2,01,Forêt Dense,,,,1,LC_TopographicalAspects,altitude,0.0,1100.0,,,,,,
L22,hp,2,01,Forêt Dense,3,,,,,name,,,Horizontal Pattern 1,,,,,
L22,hp,2,01,Forêt Dense,3,,,,,description,,,Describe the horizontal pattern,,,,,
L22,stratum,2,01,Forêt Dense,3,4,,,,name,,,Stratum 1,,,,,
L22,stratum,2,01,Forêt Dense,3,4,,,,description,,,Vegetation 1,,,,,
L22,stratum,2,01,Forêt Dense,3,4,,,,presence_type,,,Mandatory,,,,,
L22,stratum,2,01,Forêt Dense,3,4,,,,@ontop,,,0,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,lccs3_type,,,LC_Trees,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,name,,,Trees,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,description,,,Describe a vegetation element of trees type,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,presence_type,,,Mandatory,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,cover,60.0,100.0,,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,LC_WoodyGrowthLeafPhenology[LC_WoodyGrowthLeafPhenology]/name,,,Woody Growth Leaf Phenology,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,LC_WoodyGrowthLeafPhenology[LC_WoodyGrowthLeafPhenology]/description,,,Contains the elements of Woody Growth Leaf Phenology,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,LC_WoodyGrowthLeafPhenology[LC_WoodyGrowthLeafPhenology]/elements/LC_WoodyLeafPhenology[LC_Evergreen]/name,,,Evergreen,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,LC_WoodyGrowthLeafPhenology[LC_WoodyGrowthLeafPhenology]/elements/LC_WoodyLeafPhenology[LC_Evergreen]/description,,,Describe an Evergreen leaf phenology element,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,LC_WoodyGrowthLeafType[LC_WoodyGrowthLeafType]/name,,,Woody Growth Leaf Type,,,,,
L22,element,2,01,Forêt Dense,3,4,1,,LC_Tree,LC_WoodyGrowthLeafType[LC_WoodyGrowthLeafType]/description,,,Contains the elements of Woody Growth Leaf Type,,,,,
