system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
L45,legend,,,,,,,,,legend_name,,,Gambia National Land Cover Legend,,,,,
L45,legend,,,,,,,,,legend_description,,,This land cover legend was developed in line with ISO standards for Gambia,,,,,
L45,legend,,,,,,,,,legend_author,,,FAO,,,,,
L45,class,3,Ad,Closed forest,,,,,,class_name,,,Closed forest,,,,,
L45,class,3,Ad,Closed forest,,,,,,class_description,,,Lands dominated by trees with a percent cover >70% during the entire year.,,,,,
L45,class,3,Ad,Closed forest,,,,,,class_map_code,,,Ad,,,,,
L45,class,3,Ad,Closed forest,,,,,,uuid,,,fba724c0-a37d-11f0-a1d2-2c3b705884fa,,,,,
L45,hp,3,Ad,Closed forest,4,,,,,name,,,Horizontal Pattern 1,,,,,
L45,hp,3,Ad,Closed forest,4,,,,,description,,,Describe the horizontal pattern,,,,,
L45,stratum,3,Ad,Closed forest,4,5,,,,name,,,Stratum 1,,,,,
L45,stratum,3,Ad,Closed forest,4,5,,,,description,,,Vegetation 1,,,,,
L45,stratum,3,Ad,Closed forest,4,5,,,,presence_type,,,Optional,,,,,
L45,stratum,3,Ad,Closed forest,4,5,,,,@ontop,,,0,,,,,
L45,element,3,Ad,Closed forest,4,5,1,,LC_Shrub,lccs3_type,,,LC_Shrubs,,,,,
L45,element,3,Ad,Closed forest,4,5,1,,LC_Shrub,name,,,Shrubs,,,,,
L45,element,3,Ad,Closed forest,4,5,1,,LC_Shrub,description,,,Describe a vegetation element of shrubs type,,,,,
L45,element,3,Ad,Closed forest,4,5,1,,LC_Shrub,presence_type,,,Mandatory,,,,,
L45,characteristic,3,Ad,Closed forest,4,5,1,1,LC_VegetationArtificialityCharacteristic,lccs3_type,,,LC_NaturalOrSeminaturalVegetation,,,,,value: Natural or Seminatural
L45,characteristic,3,Ad,Closed forest,4,5,1,1,LC_VegetationArtificialityCharacteristic,name,,,Natural Or Seminatural Vegetation,,,,,
L45,characteristic,3,Ad,Closed forest,4,5,1,1,LC_VegetationArtificialityCharacteristic,description,,,Describe the natural or seminatural vegetation,,,,,
L45,stratum,3,Ad,Closed forest,4,8,,,,name,,,Stratum 2,,,,,
L45,stratum,3,Ad,Closed forest,4,8,,,,description,,,Vegetation 2,,,,,
L45,stratum,3,Ad,Closed forest,4,8,,,,presence_type,,,Optional,,,,,
L45,stratum,3,Ad,Closed forest,4,8,,,,@ontop,,,0,,,,,
L45,element,3,Ad,Closed forest,4,8,1,,LC_Tree,lccs3_type,,,LC_Trees,,,,,
L45,element,3,Ad,Closed forest,4,8,1,,LC_Tree,name,,,Trees,,,,,
L45,element,3,Ad,Closed forest,4,8,1,,LC_Tree,description,,,Describe a vegetation element of trees type,,,,,
L45,element,3,Ad,Closed forest,4,8,1,,LC_Tree,presence_type,,,Mandatory,,,,,
L45,characteristic,3,Ad,Closed forest,4,8,1,1,LC_VegetationArtificialityCharacteristic,lccs3_type,,,LC_NaturalOrSeminaturalVegetation,,,,,value: Natural or Seminatural
L45,characteristic,3,Ad,Closed forest,4,8,1,1,LC_VegetationArtificialityCharacteristic,name,,,Natural Or Seminatural Vegetation,,,,,
L45,characteristic,3,Ad,Closed forest,4,8,1,1,LC_VegetationArtificialityCharacteristic,description,,,Describe the natural or seminatural vegetation,,,,,
L45,stratum,3,Ad,Closed forest,4,B,,,,name,,,Stratum 3,,,,,
L45,stratum,3,Ad,Closed forest,4,B,,,,description,,,Vegetation 3,,,,,
L45,stratum,3,Ad,Closed forest,4,B,,,,presence_type,,,Mandatory,,,,,
L45,stratum,3,Ad,Closed forest,4,B,,,,@ontop,,,0,,,,,
L45,element,3,Ad,Closed forest,4,B,1,,LC_Tree,lccs3_type,,,LC_Trees,,,,,
L45,element,3,Ad,Closed forest,4,B,1,,LC_Tree,name,,,Trees,,,,,
L45,element,3,Ad,Closed forest,4,B,1,,LC_Tree,description,,,Describe a vegetation element of trees type,,,,,
L45,element,3,Ad,Closed forest,4,B,1,,LC_Tree,presence_type,,,Mandatory,,,,,
L45,element,3,Ad,Closed forest,4,B,1,,LC_Tree,cover,70.0,100.0,,,,,,
L45,characteristic,3,Ad,Closed forest,4,B,1,1,LC_VegetationArtificialityCharacteristic,lccs3_type,,,LC_NaturalOrSeminaturalVegetation,,,,,value: Natural or Seminatural
L45,characteristic,3,Ad,Closed forest,4,B,1,1,LC_VegetationArtificialityCharacteristic,name,,,Natural Or Seminatural Vegetation,,,,,
L45,characteristic,3,Ad,Closed forest,4,B,1,1,LC_VegetationArtificialityCharacteristic,description,,,Describe the natural or seminatural vegetation,,,,,
L45,class,E,Ac,Open Forest,,,,,,class_name,,,Open Forest,,,,,
L45,class,E,Ac,Open Forest,,,,,,class_description,,,Lands dominated by trees with a percent cover between 20 and 70% during the entire year.,,,,,
L45,class,E,Ac,Open Forest,,,,,,class_map_code,,,Ac,,,,,
L45,class,E,Ac,Open Forest,,,,,,uuid,,,70041d50-a37e-11f0-a1d2-2c3b705884fa,,,,,
L45,hp,E,Ac,Open Forest,F,,,,,name,,,Horizontal Pattern 1,,,,,
L45,hp,E,Ac,Open Forest,F,,,,,description,,,Describe the horizontal pattern,,,,,
L45,stratum,E,Ac,Open Forest,F,10,,,,name,,,Stratum 1,,,,,
L45,stratum,E,Ac,Open Forest,F,10,,,,description,,,Vegetation 1,,,,,
L45,stratum,E,Ac,Open Forest,F,10,,,,presence_type,,,Optional,,,,,
L45,stratum,E,Ac,Open Forest,F,10,,,,@ontop,,,0,,,,,
L45,element,E,Ac,Open Forest,F,10,1,,LC_Shrub,lccs3_type,,,LC_Shrubs,,,,,
