system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
L18,legend,,,,,,,,,legend_name,,,New Legend,,,,,
L18,legend,,,,,,,,,legend_description,,,Describe the legend,,,,,
L18,class,2,PR,Paddy rice,,,,,,class_name,,,Paddy rice,,,,,
L18,class,2,PR,Paddy rice,,,,,,class_description,,,Describe the land cover class,,,,,
L18,class,2,PR,Paddy rice,,,,,,class_map_code,,,PR,,,,,
L18,class,2,PR,Paddy rice,,,,,,uuid,,,c1d635f0-ecbf-11e8-a9fa-dc4a3e84f9b7,,,,,
L18,hp,2,PR,Paddy rice,4,,,,,name,,,Horizontal Pattern 1,,,,,
L18,hp,2,PR,Paddy rice,4,,,,,description,,,Describe the horizontal pattern,,,,,
L18,stratum,2,PR,Paddy rice,4,5,,,,name,,,Stratum 1,,,,,
L18,stratum,2,PR,Paddy rice,4,5,,,,description,,,Vegetation 1,,,,,
L18,stratum,2,PR,Paddy rice,4,5,,,,presence_type,,,Mandatory,,,,,
L18,stratum,2,PR,Paddy rice,4,5,,,,@ontop,,,0,,,,,
L18,element,2,PR,Paddy rice,4,5,1,,LC_Graminoid,lccs3_type,,,LC_Graminae,,,,,
L18,element,2,PR,Paddy rice,4,5,1,,LC_Graminoid,name,,,Graminae,,,,,
L18,element,2,PR,Paddy rice,4,5,1,,LC_Graminoid,description,,,Describe a vegetation element of graminae type,,,,,
L18,element,2,PR,Paddy rice,4,5,1,,LC_Graminoid,presence_type,,,Mandatory,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,1,LC_CultivatedAndManagedVegetationCharacteristics,lccs3_type,,,LC_CultivatedAndManagedVegetation,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,1,LC_CultivatedAndManagedVegetationCharacteristics,name,,,Cultivated And Managed Vegetation,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,1,LC_CultivatedAndManagedVegetationCharacteristics,description,,,Describe the cultivated and managed vegetation,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,1,LC_CultivatedAndManagedVegetationCharacteristics,elements/LC_Characteristic[LC_Irrigation]/name,,,Irrigation,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,1,LC_CultivatedAndManagedVegetationCharacteristics,elements/LC_Characteristic[LC_Irrigation]/description,,,Describe the irrigation,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,1,LC_CultivatedAndManagedVegetationCharacteristics,elements/LC_Characteristic[LC_Irrigation]/irrigation_type,,,Surface,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,1,LC_CultivatedAndManagedVegetationCharacteristics,elements/LC_Characteristic[LC_Rainfed]/name,,,Rainfed,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,1,LC_CultivatedAndManagedVegetationCharacteristics,elements/LC_Characteristic[LC_Rainfed]/description,,,Describe the rainfed,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,2,LC_FloristicAspectsCharacteristic,lccs3_type,,,LC_FloristicAspect,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,2,LC_FloristicAspectsCharacteristic,name,,,Floristic Aspect,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,2,LC_FloristicAspectsCharacteristic,description,,,Describe the floristic aspect,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,2,LC_FloristicAspectsCharacteristic,elements/LC_Characteristic[LC_FloristicAspectSpecies]/name,,,Floristic Aspect Species,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,2,LC_FloristicAspectsCharacteristic,elements/LC_Characteristic[LC_FloristicAspectSpecies]/description,,,Describe the floristic aspect species,,,,,
L18,characteristic,2,PR,Paddy rice,4,5,1,2,LC_FloristicAspectsCharacteristic,elements/LC_Characteristic[LC_FloristicAspectSpecies]/species_name,,,Rice,,,,,
L18,class,32,AC,Annual crops and grassland,,,,,,class_name,,,Annual crops and grassland,,,,,
L18,class,32,AC,Annual crops and grassland,,,,,,class_description,,,Describe the land cover class,,,,,
L18,class,32,AC,Annual crops and grassland,,,,,,class_map_code,,,AC,,,,,
L18,class,32,AC,Annual crops and grassland,,,,,,uuid,,,f91aec40-ecbf-11e8-a9fa-dc4a3e84f9b7,,,,,
L18,hp,32,AC,Annual crops and grassland,33,,,,,name,,,Horizontal Pattern 1,,,,,
L18,hp,32,AC,Annual crops and grassland,33,,,,,description,,,Describe the horizontal pattern,,,,,
L18,stratum,32,AC,Annual crops and grassland,33,34,,,,name,,,Stratum 1,,,,,
L18,stratum,32,AC,Annual crops and grassland,33,34,,,,description,,,Vegetation 1,,,,,
