Id,Hex,Class Code,Class Name,
1,#99000d,1A,Settlements/urban areas,Large to Medium (>2 ha) Tree crops - Crop Cover: Orchrd(s)
2,#fb6a4a,1B,Non?urban built?up areas,Small (<2 ha) Tree crops - Orchard(s)
3,#864cf0,2A,Fruit trees,
4,#df74ed,2B,Vineyards,
5,#f8ed62,3A1,Irrigated single crop per year,
6,#fffe68,3A2,Two/multiple crops per year with year?round irrigation,
7,#FFFFBF,3A3,Two/multiple crops per year with seasonal irrigation,
8,#d9f0a3,5A,Rainfed cultivation in flat areas,
9,#edf8b1,5B,Rainfed cultivation in sloping land,
10,#0c563f,6A,Closed trees/forest,
11,#335D6A,6B,Open trees/forest,
12,#80bf0c,6B1,Open trees (undifferentiated),
13,#3da229,6C,Closed to open shrubland,
14,#ac920d,7,Rangeland,
15,#9ea4b0,8A,Bare areas,
16,#fff693,8B,Sandy areas,
17,#fede77,8C,Dunes,
18,#6a93c2,9A,Marshland (permanently inundated),
19,#aaccd6 ,9B,Seasonally inundated vegetation,
20,#1aa09e,10A,Artificial and natural waterbodies,
21,#214b9a,10B,Seasonal lakes,
22,#0167FF,11,Rivers,
23,#5a4a2f,12,Riverbanks,
24,#ffffff,13,Snow covered areas,
