ID,Hex,Class Code,Class Name
1,#D9D9D9,A,"Sandy (beach, dunes) area"
2,#00B0F0,Aa_c,Canal
3,#0070C0,Aa_l,"Lakes, reservoirs and barrages"
4,#1F4E78,An_c,Streams and rivers
5,#0099FF,An_l,Lagoons
6,#FF99FF,Ar_c,Shrubs land
7,#FF66FF,Ar_p,Shrubs with grassland
8,#FF00FF,Cp,Cropland <2ha
9,#FF66CC,Crg,Irrigated cropland >2ha
10,#FFFF00,Crg_a,Rice field
11,#FFCC00,Crg_c,Sugarcane field
12,#FF9966,Csg,Rainfed cropland >2ha
13,#00CC66,FP_ma,Vegetation for shelter and shade
14,#FF6600,FP_mx,Mixed forest plantation
15,#66FFCC,FP_ps,Alamo and willow forest plantation
16,#008080,Fr,Orchard
17,#99FF99,He,Grassland
18,#339966,He_ar,Grassland with scattered bushes
19,#404040,He_ein,Consolidated rock
20,#00CCFF,He_in,Parmenently flooded grassland
21,#FFFF99,He_p,Improved grassland
22,#FFCC99,He_pa,Grassland with scattered palm trees
23,#FF9999,He_ps,Psamophilic forest
24,#C65911,He_r,Grassland with rock outcrop
25,#CCCC00,Mn,Native forest (40-100%)
26,#FF9900,Mn_p,Native park forest
27,#00CC00,Pa,Palm trees
28,#548235,PF_e,Eucalyptus forest plantation
29,#C6E0B4,PF_p,Pine forest plantation
30,#808080,Rc,Consolidated rock
31,#F4B084,Sd,Bare ground
32,#FF0000,Ur,Urban area
33,#CC0000,Ur_he,Dispersed urban
