ID,Hex,Class Code,Class Name,
1,#006600,lcc1,Forest,
2,#FFFF66,lcc2,Cropland,
3,#FF0000,lcc3,Built-up,
4,#0033CC,lcc4,Water bodies,
5,#339933,lcc5,Other wooded land,
6,#00CCFF,lcc6,Glacier,
7,#808080,lcc7,Bare rock,
8,#CCCC00,lcc8,Grassland,
9,#FFFFCC,lcc9,Snow,
10,#F8D5AA,lcc10,Bare soil,
11,#33CCCC,lcc11,Riverbed,
