ID,Hex,Class Code,Class Name
1,#FF0000,SEEA 1,Artificial surfaces (including urban and associated areas)
2,#00CC00,SEEA 2,Herbaceous crops
3,#00CC66,SEEA 3,Woody crops
4,#CCFF33,SEEA 4,Multiple or layered crops
5,#66FF66,SEEA 5,Grassland
6,#548235,SEEA 6,Trees covered areas
7,#375623,SEEA 7,Mangroves
8,#A9D08E,SEEA 8,Shrub covered areas
9,#00FF99,SEEA 9,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded"
10,#66FF33,SEEA 10,Sparsely natural vegetated areas
11,#FFD966,SEEA 11,Terrestrial barren land
12,#F8F8F8,SEEA 12,Permanent snow and glaciers
13,#0066FF,SEEA 13,Inland water bodies
14,#0033CC,SEEA 14,Coastal water bodies and intertidal areas
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
