system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
L17,legend,,,,,,,,,legend_name,,,Anderson level 2,,,,,
L17,legend,,,,,,,,,legend_description,,,Describe the legend,,,,,
L17,legend,,,,,,,,,legend_author,,,Antonio Di Gregorio,,,,,
L17,class,2,1-11,Residential (Urban or Built up),,,,,,class_name,,,Residential (Urban or Built up),,,,,
L17,class,2,1-11,Residential (Urban or Built up),,,,,,class_description,,,Describe the land cover class,,,,,
L17,class,2,1-11,Residential (Urban or Built up),,,,,,class_map_code,,,1-11,,,,,
L17,class,2,1-11,Residential (Urban or Built up),,,,,,uuid,,,25335c80-ec60-11ea-b4dd-185680280055,,,,,
L17,hp,2,1-11,Residential (Urban or Built up),3,,,,,name,,,Horizontal Pattern 1,,,,,
L17,hp,2,1-11,Residential (Urban or Built up),3,,,,,description,,,Describe the horizontal pattern,,,,,
L17,hp,2,1-11,Residential (Urban or Built up),3,,,,,cover,10.0,100.0,,,,,,
L17,hp,2,1-11,Residential (Urban or Built up),3,,,,,occurance,100.0,100.0,,,,,,
L17,stratum,2,1-11,Residential (Urban or Built up),3,4,,,,name,,,Stratum 1,,,,,
L17,stratum,2,1-11,Residential (Urban or Built up),3,4,,,,description,,,Abiotic surface 1,,,,,
L17,stratum,2,1-11,Residential (Urban or Built up),3,4,,,,presence_type,,,Mandatory,,,,,
L17,stratum,2,1-11,Residential (Urban or Built up),3,4,,,,@ontop,,,0,,,,,
L17,element,2,1-11,Residential (Urban or Built up),3,4,1,,LC_BuiltUpSurface,lccs3_type,,,LC_BuiltUpSurface,,,,,
L17,element,2,1-11,Residential (Urban or Built up),3,4,1,,LC_BuiltUpSurface,name,,,Built-up Surface,,,,,
L17,element,2,1-11,Residential (Urban or Built up),3,4,1,,LC_BuiltUpSurface,description,,,Describe a built-up surface element,,,,,
L17,element,2,1-11,Residential (Urban or Built up),3,4,1,,LC_BuiltUpSurface,presence_type,,,Mandatory,,,,,
L17,element,2,1-11,Residential (Urban or Built up),3,4,1,,LC_BuiltUpSurface,cover,10.0,100.0,,,,,,
L17,characteristic,2,1-11,Residential (Urban or Built up),3,4,1,1,LC_ConstructionUse,lccs3_type,,,LC_ConstructionUse,,,,,
L17,characteristic,2,1-11,Residential (Urban or Built up),3,4,1,1,LC_ConstructionUse,name,,,Construction Use,,,,,
L17,characteristic,2,1-11,Residential (Urban or Built up),3,4,1,1,LC_ConstructionUse,description,,,Describe the construction use characteristic,,,,,
L17,characteristic,2,1-11,Residential (Urban or Built up),3,4,1,1,LC_ConstructionUse,type,,,Residential,,,,,
L17,hp,2,1-11,Residential (Urban or Built up),7,,,,,name,,,Horizontal Pattern 2,,,,,
