system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
L27,legend,,,,,,,,,legend_name,,,MZ LC 2016,,,,,
L27,legend,,,,,,,,,legend_description,,,Mozambique national land cover 2016,,,,,
L27,legend,,,,,,,,,legend_author,,,,,,,,
L27,class,17,1,Tree cultivation,,,,,,class_name,,,Tree cultivation,,,,,
L27,class,17,1,Tree cultivation,,,,,,class_description,,,,,,,,
L27,class,17,1,Tree cultivation,,,,,,class_map_code,,,1,,,,,
L27,class,17,1,Tree cultivation,,,,,,uuid,,,645695b3-864a-11eb-aa79-a86daa922d76,,,,,
L27,hp,17,1,Tree cultivation,18,,,,,name,,,Horizontal Pattern 1,,,,,
L27,hp,17,1,Tree cultivation,18,,,,,description,,,Describe the horizontal pattern,,,,,
L27,hp,17,1,Tree cultivation,18,,,,,type,,,,,,,,
L27,stratum,17,1,Tree cultivation,18,19,,,,name,,,Stratum 1,,,,,
L27,stratum,17,1,Tree cultivation,18,19,,,,description,,,,,,,,
L27,stratum,17,1,Tree cultivation,18,19,,,,presence_type,,,Mandatory,,,,,
L27,stratum,17,1,Tree cultivation,18,19,,,,@ontop,,,0,,,,,
L27,element,17,1,Tree cultivation,18,19,1,,LC_Tree,lccs3_type,,,LC_Trees,,,,,
L27,element,17,1,Tree cultivation,18,19,1,,LC_Tree,name,,,Trees,,,,,
L27,element,17,1,Tree cultivation,18,19,1,,LC_Tree,description,,,Describe a vegetation element of trees type,,,,,
L27,element,17,1,Tree cultivation,18,19,1,,LC_Tree,presence_type,,,Mandatory,,,,,
L27,characteristic,17,1,Tree cultivation,18,19,1,1,LC_CultivatedAndManagedVegetationCharacteristics,lccs3_type,,,LC_CultivatedAndManagedVegetation,,,,,
L27,characteristic,17,1,Tree cultivation,18,19,1,1,LC_CultivatedAndManagedVegetationCharacteristics,name,,,Cultivated And Managed Vegetation,,,,,
L27,characteristic,17,1,Tree cultivation,18,19,1,1,LC_CultivatedAndManagedVegetationCharacteristics,description,,,Describe the cultivated and managed vegetation,,,,,
L27,class,1C,2,Non-tree cultivation,,,,,,class_name,,,Non-tree cultivation,,,,,
L27,class,1C,2,Non-tree cultivation,,,,,,class_description,,,"Non-tree cultivation areas include areas with small and large scale agricultural crops. The main crops grown on several farms are corn (Zea mays), rice ( Oryza sativa), sorghum (Sorghum bicolor), peanut (Arachis hypogaea), Nhemba beans (Vigna unguiculata), manioc (Manihot esculenta), cotton (Gossypium hirsutum) and sugar cane ( Saccharum officinarum).",,,,,
L27,class,1C,2,Non-tree cultivation,,,,,,class_map_code,,,2,,,,,
L27,class,1C,2,Non-tree cultivation,,,,,,uuid,,,adda7853-864a-11eb-aa79-a86daa922d76,,,,,
L27,hp,1C,2,Non-tree cultivation,1D,,,,,name,,,Horizontal Pattern 1,,,,,
L27,hp,1C,2,Non-tree cultivation,1D,,,,,description,,,Describe the horizontal pattern,,,,,
L27,hp,1C,2,Non-tree cultivation,1D,,,,,type,,,,,,,,
L27,stratum,1C,2,Non-tree cultivation,1D,1E,,,,name,,,Stratum 1,,,,,
L27,stratum,1C,2,Non-tree cultivation,1D,1E,,,,description,,,,,,,,
L27,stratum,1C,2,Non-tree cultivation,1D,1E,,,,presence_type,,,Mandatory,,,,,
L27,stratum,1C,2,Non-tree cultivation,1D,1E,,,,@ontop,,,0,,,,,
L27,element,1C,2,Non-tree cultivation,1D,1E,1,,LC_HerbaceousGrowthForm,lccs3_type,,,LC_HerbaceousGrowthForms,,,,,
L27,element,1C,2,Non-tree cultivation,1D,1E,1,,LC_HerbaceousGrowthForm,name,,,Herbaceous growth forms,,,,,
L27,element,1C,2,Non-tree cultivation,1D,1E,1,,LC_HerbaceousGrowthForm,description,,,Describe a vegetation element of herbaceous growth form type,,,,,
L27,element,1C,2,Non-tree cultivation,1D,1E,1,,LC_HerbaceousGrowthForm,presence_type,,,Mandatory,,,,,
L27,characteristic,1C,2,Non-tree cultivation,1D,1E,1,1,LC_CultivatedAndManagedVegetationCharacteristics,lccs3_type,,,LC_CultivatedAndManagedVegetation,,,,,
L27,characteristic,1C,2,Non-tree cultivation,1D,1E,1,1,LC_CultivatedAndManagedVegetationCharacteristics,name,,,Cultivated And Managed Vegetation,,,,,
L27,characteristic,1C,2,Non-tree cultivation,1D,1E,1,1,LC_CultivatedAndManagedVegetationCharacteristics,description,,,Describe the cultivated and managed vegetation,,,,,
L27,class,20,3,Forest plantation,,,,,,class_name,,,Forest plantation,,,,,
L27,class,20,3,Forest plantation,,,,,,class_description,,,,,,,,
L27,class,20,3,Forest plantation,,,,,,class_map_code,,,3,,,,,
L27,class,20,3,Forest plantation,,,,,,uuid,,,0a65e053-864b-11eb-aa79-a86daa922d76,,,,,
L27,hp,20,3,Forest plantation,21,,,,,name,,,Horizontal Pattern 1,,,,,
L27,hp,20,3,Forest plantation,21,,,,,description,,,Describe the horizontal pattern,,,,,
L27,stratum,20,3,Forest plantation,21,22,,,,name,,,Stratum 1,,,,,
L27,stratum,20,3,Forest plantation,21,22,,,,description,,,Abiotic surface 1,,,,,
L27,stratum,20,3,Forest plantation,21,22,,,,presence_type,,,Mandatory,,,,,
L27,stratum,20,3,Forest plantation,21,22,,,,@ontop,,,0,,,,,
L27,element,20,3,Forest plantation,21,22,1,,LC_Tree,lccs3_type,,,LC_Trees,,,,,
L27,element,20,3,Forest plantation,21,22,1,,LC_Tree,name,,,Trees,,,,,
L27,element,20,3,Forest plantation,21,22,1,,LC_Tree,description,,,Describe a vegetation element of trees type,,,,,
L27,element,20,3,Forest plantation,21,22,1,,LC_Tree,presence_type,,,Mandatory,,,,,
L27,characteristic,20,3,Forest plantation,21,22,1,1,LC_CultivatedAndManagedVegetationCharacteristics,lccs3_type,,,LC_CultivatedAndManagedVegetation,,,,,
L27,characteristic,20,3,Forest plantation,21,22,1,1,LC_CultivatedAndManagedVegetationCharacteristics,name,,,Cultivated And Managed Vegetation,,,,,
L27,characteristic,20,3,Forest plantation,21,22,1,1,LC_CultivatedAndManagedVegetationCharacteristics,description,,,Describe the cultivated and managed vegetation,,,,,
L27,characteristic,20,3,Forest plantation,21,22,1,1,LC_CultivatedAndManagedVegetationCharacteristics,elements/LC_Characteristic[LC_ForestPlantation]/name,,,Forest Plantation,,,,,
L27,characteristic,20,3,Forest plantation,21,22,1,1,LC_CultivatedAndManagedVegetationCharacteristics,elements/LC_Characteristic[LC_ForestPlantation]/description,,,Describe the forest plantation,,,,,
L27,class,24,4,Prairie,,,,,,class_name,,,Prairie,,,,,
L27,class,24,4,Prairie,,,,,,class_description,,,"Prairie is a type of vegetation cover that settles in plains dominated by grass and shrubs or woods (tree prairie) and scrub (semi-always green and semi deciduous) with less than 30% tree cover. These formations occupy regions with annual rainfall below 1200 mm. In these formations the acacias predominate;Acacia nigrescensens, Acacia xantophloea, A. nilotica, A. goetzei, which, in some cases, are associated with other xerophilic species such as Commiphora spp.",,,,,
L27,class,24,4,Prairie,,,,,,class_map_code,,,4,,,,,
L27,class,24,4,Prairie,,,,,,uuid,,,7835e803-864b-11eb-aa79-a86daa922d76,,,,,
L27,hp,24,4,Prairie,25,,,,,name,,,Horizontal Pattern 1,,,,,
L27,hp,24,4,Prairie,25,,,,,description,,,Describe the horizontal pattern,,,,,
L27,stratum,24,4,Prairie,25,26,,,,name,,,Stratum 1,,,,,
L27,stratum,24,4,Prairie,25,26,,,,description,,,Vegetation 1,,,,,
L27,stratum,24,4,Prairie,25,26,,,,presence_type,,,Mandatory,,,,,
L27,stratum,24,4,Prairie,25,26,,,,@ontop,,,0,,,,,
L27,element,24,4,Prairie,25,26,1,,LC_HerbaceousGrowthForm,lccs3_type,,,LC_HerbaceousGrowthForms,,,,,
L27,element,24,4,Prairie,25,26,1,,LC_HerbaceousGrowthForm,name,,,Herbaceous growth forms,,,,,
L27,element,24,4,Prairie,25,26,1,,LC_HerbaceousGrowthForm,description,,,Describe a vegetation element of herbaceous growth form type,,,,,
